,Funding instrument,Applicant,Priority area,Description,Amount Committed in €,Amount Contracted in €,Payments,Humanitarian,Turkish
63,EUTF,Association for Solidarity with Asylum Seekers and Migrants (ASAM),Socio-economic Support,"Promoting integration of refugees and asylum seekers, with a particular focus on Iraqi refugees, and strengthening capacity of local authorities",10000000,10000000,4826684,0,eu_flag1.png
64,EUTF,Concern Worldwide,Education Socio-economic Support,Increasing the resilience and integration of vulnerable Syrian refugees through support to education and livelihoods opportunities,17280000,17280000,0,0,eu_flag1.png
65,EUTF,UNDP,Socio-economic Support,"Strengthening the economic and social resilience of refugees, host communities and relevant institutions, including by providing vocational and language training to adults",50000000,50000000,40405174,0,eu_flag1.png
67,EUTF,UN Women,Socio-economic Support,Increasing access to basic services; improving protection; increasing access to work and enhancing participation of refugee women and girls and vulnerable women and girls in host communities,5000000,5000000,0,0,eu_flag1.png
68,EUTF,UNICEF,Education,"Increasing access to formal and non-formal education opportunities, as well as psychosocial well-being, and protective environment for refugee and vulnerable Turkish children",31382891,31382891,31382891,0,eu_flag1.png
69,EUTF,ILO,Socio-economic Support,"Facilitating access to work for refugees and host communities through training, stimulating entrepreneurship opportunities and strengthening labour market institutions",11610000,11610000,0,0,eu_flag1.png
70,EUTF,Stichting SPARK,Education,Providing access to higher education refugees through the delivery of Turkish language education; bachelor programmes; and overall support,5000000,5000000,0,0,eu_flag1.png
71,EUTF,Kreditanstalt für Wiederaufbau (KfW),Education Infrastructure,Improving and securing the living conditions of refugees and host communities and contributing to climate protection by providing sustainable energy to public schools,40000000,40000000,0,0,eu_flag1.png
72,Instrument contributing to Stability and Peace,IOM,Migration Management,Enhancing the capacity of the Turkish Coast Guard to carry out search and rescue operations,20000000,20000000,19000000,0,eu_flag1.png
73,IPA Support Measure,Various,"Monitoring and Evaluation, Audit and Communication","Support Measure to ensure tracking and measuring results, verification of the proper use of funds, and communication on the implementation of funded interventions",14340001,906508,270565,0,eu_flag1.png
74,IPA Administrative expenditure,Not applicable,Administrative Expenditure,"Expenditure on external personnel and costs relating to training, conferences and meetings; reimbursement of participants in committee meetings, IT-costs,etc",9387404,9387404,5009965,0,none
